id,texto,costo
q_60,¿Pregunta relacionada a Variable 60?,3
q_61,¿Pregunta relacionada a Variable 61?,3
q_62,¿Pregunta relacionada a Variable 62?,3
q_63,¿Pregunta relacionada a Variable 63?,1
q_64,¿Pregunta relacionada a Variable 64?,1
q_65,¿Pregunta relacionada a Variable 65?,1
q_66,¿Pregunta relacionada a Variable 66?,1
q_67,¿Pregunta relacionada a Variable 67?,2
q_68,¿Pregunta relacionada a Variable 68?,2
q_69,¿Pregunta relacionada a Variable 69?,3
q_70,¿Pregunta relacionada a Variable 70?,2
q_71,¿Pregunta relacionada a Variable 71?,1
q_72,¿Pregunta relacionada a Variable 72?,1
q_73,¿Pregunta relacionada a Variable 73?,1
q_74,¿Pregunta relacionada a Variable 74?,1
q_75,¿Pregunta relacionada a Variable 75?,1
q_76,¿Pregunta relacionada a Variable 76?,3
q_77,¿Pregunta relacionada a Variable 77?,3
q_78,¿Pregunta relacionada a Variable 78?,1
q_79,¿Pregunta relacionada a Variable 79?,3
q_80,¿Pregunta relacionada a Variable 80?,2
q_81,¿Pregunta relacionada a Variable 81?,2
q_82,¿Pregunta relacionada a Variable 82?,1
q_83,¿Pregunta relacionada a Variable 83?,3
q_84,¿Pregunta relacionada a Variable 84?,1
q_85,¿Pregunta relacionada a Variable 85?,3
q_86,¿Pregunta relacionada a Variable 86?,1
q_87,¿Pregunta relacionada a Variable 87?,1
q_88,¿Pregunta relacionada a Variable 88?,1
q_89,¿Pregunta relacionada a Variable 89?,2
q_90,¿Pregunta relacionada a Variable 90?,3
q_91,¿Pregunta relacionada a Variable 91?,3
q_92,¿Pregunta relacionada a Variable 92?,2
q_93,¿Pregunta relacionada a Variable 93?,2
q_94,¿Pregunta relacionada a Variable 94?,3
q_95,¿Pregunta relacionada a Variable 95?,3
q_96,¿Pregunta relacionada a Variable 96?,1
q_97,¿Pregunta relacionada a Variable 97?,1
q_98,¿Pregunta relacionada a Variable 98?,3
q_99,¿Pregunta relacionada a Variable 99?,3
q_100,¿Pregunta relacionada a Variable 100?,1
q_101,¿Pregunta relacionada a Variable 101?,2
q_102,¿Pregunta relacionada a Variable 102?,3
q_103,¿Pregunta relacionada a Variable 103?,3
q_104,¿Pregunta relacionada a Variable 104?,2
q_105,¿Pregunta relacionada a Variable 105?,2
q_106,¿Pregunta relacionada a Variable 106?,2
q_107,¿Pregunta relacionada a Variable 107?,3
q_108,¿Pregunta relacionada a Variable 108?,3
q_109,¿Pregunta relacionada a Variable 109?,3
q_110,¿Pregunta relacionada a Variable 110?,1
q_111,¿Pregunta relacionada a Variable 111?,2
q_112,¿Pregunta relacionada a Variable 112?,2
q_113,¿Pregunta relacionada a Variable 113?,1
q_114,¿Pregunta relacionada a Variable 114?,1
q_115,¿Pregunta relacionada a Variable 115?,1
q_116,¿Pregunta relacionada a Variable 116?,1
q_117,¿Pregunta relacionada a Variable 117?,2
q_118,¿Pregunta relacionada a Variable 118?,1
q_119,¿Pregunta relacionada a Variable 119?,1
q_120,¿Pregunta relacionada a Variable 120?,2
q_121,¿Pregunta relacionada a Variable 121?,2
q_122,¿Pregunta relacionada a Variable 122?,2
q_123,¿Pregunta relacionada a Variable 123?,2
q_124,¿Pregunta relacionada a Variable 124?,3
q_125,¿Pregunta relacionada a Variable 125?,3
q_126,¿Pregunta relacionada a Variable 126?,3
q_127,¿Pregunta relacionada a Variable 127?,3
q_128,¿Pregunta relacionada a Variable 128?,2
q_129,¿Pregunta relacionada a Variable 129?,3
q_130,¿Pregunta relacionada a Variable 130?,1
q_131,¿Pregunta relacionada a Variable 131?,1
q_132,¿Pregunta relacionada a Variable 132?,1
q_133,¿Pregunta relacionada a Variable 133?,3
q_134,¿Pregunta relacionada a Variable 134?,3
q_135,¿Pregunta relacionada a Variable 135?,1
q_136,¿Pregunta relacionada a Variable 136?,3
q_137,¿Pregunta relacionada a Variable 137?,2
q_138,¿Pregunta relacionada a Variable 138?,3
q_139,¿Pregunta relacionada a Variable 139?,1
q_140,¿Pregunta relacionada a Variable 140?,1
q_141,¿Pregunta relacionada a Variable 141?,3
q_142,¿Pregunta relacionada a Variable 142?,3
q_143,¿Pregunta relacionada a Variable 143?,1
q_144,¿Pregunta relacionada a Variable 144?,1
q_145,¿Pregunta relacionada a Variable 145?,3
q_146,¿Pregunta relacionada a Variable 146?,3
q_147,¿Pregunta relacionada a Variable 147?,1
q_148,¿Pregunta relacionada a Variable 148?,1
q_149,¿Pregunta relacionada a Variable 149?,1
q_150,¿Pregunta relacionada a Variable 150?,1
q_151,¿Pregunta relacionada a Variable 151?,1
q_152,¿Pregunta relacionada a Variable 152?,1
q_153,¿Pregunta relacionada a Variable 153?,1
q_154,¿Pregunta relacionada a Variable 154?,3
q_155,¿Pregunta relacionada a Variable 155?,2
q_156,¿Pregunta relacionada a Variable 156?,2
q_157,¿Pregunta relacionada a Variable 157?,3
q_158,¿Pregunta relacionada a Variable 158?,2
q_159,¿Pregunta relacionada a Variable 159?,3
q_160,¿Pregunta relacionada a Variable 160?,3
q_161,¿Pregunta relacionada a Variable 161?,3
q_162,¿Pregunta relacionada a Variable 162?,3
q_163,¿Pregunta relacionada a Variable 163?,2
q_164,¿Pregunta relacionada a Variable 164?,3
q_165,¿Pregunta relacionada a Variable 165?,1
q_166,¿Pregunta relacionada a Variable 166?,3
q_167,¿Pregunta relacionada a Variable 167?,2
q_168,¿Pregunta relacionada a Variable 168?,2
q_169,¿Pregunta relacionada a Variable 169?,2
q_170,¿Pregunta relacionada a Variable 170?,2
q_171,¿Pregunta relacionada a Variable 171?,1
q_172,¿Pregunta relacionada a Variable 172?,3
q_173,¿Pregunta relacionada a Variable 173?,1
q_174,¿Pregunta relacionada a Variable 174?,3
q_175,¿Pregunta relacionada a Variable 175?,3
q_176,¿Pregunta relacionada a Variable 176?,1
q_177,¿Pregunta relacionada a Variable 177?,1
q_178,¿Pregunta relacionada a Variable 178?,2
q_179,¿Pregunta relacionada a Variable 179?,3
q_180,¿Pregunta relacionada a Variable 180?,3
q_181,¿Pregunta relacionada a Variable 181?,3
q_182,¿Pregunta relacionada a Variable 182?,3
q_183,¿Pregunta relacionada a Variable 183?,3
q_184,¿Pregunta relacionada a Variable 184?,3
q_185,¿Pregunta relacionada a Variable 185?,2
q_186,¿Pregunta relacionada a Variable 186?,3
q_187,¿Pregunta relacionada a Variable 187?,2
q_188,¿Pregunta relacionada a Variable 188?,3
q_189,¿Pregunta relacionada a Variable 189?,3
q_190,¿Pregunta relacionada a Variable 190?,1
q_191,¿Pregunta relacionada a Variable 191?,3
q_192,¿Pregunta relacionada a Variable 192?,1
q_193,¿Pregunta relacionada a Variable 193?,1
q_194,¿Pregunta relacionada a Variable 194?,1
q_195,¿Pregunta relacionada a Variable 195?,2
q_196,¿Pregunta relacionada a Variable 196?,1
q_197,¿Pregunta relacionada a Variable 197?,1
q_198,¿Pregunta relacionada a Variable 198?,1
q_199,¿Pregunta relacionada a Variable 199?,3
q_200,¿Pregunta relacionada a Variable 200?,2
q_201,¿Pregunta relacionada a Variable 201?,2
q_202,¿Pregunta relacionada a Variable 202?,2
q_203,¿Pregunta relacionada a Variable 203?,2
q_204,¿Pregunta relacionada a Variable 204?,3
q_205,¿Pregunta relacionada a Variable 205?,1
q_206,¿Pregunta relacionada a Variable 206?,3
q_207,¿Pregunta relacionada a Variable 207?,2
q_208,¿Pregunta relacionada a Variable 208?,3
q_209,¿Pregunta relacionada a Variable 209?,3
q_210,¿Pregunta relacionada a Variable 210?,2
q_211,¿Pregunta relacionada a Variable 211?,1
q_212,¿Pregunta relacionada a Variable 212?,3
q_213,¿Pregunta relacionada a Variable 213?,2
q_214,¿Pregunta relacionada a Variable 214?,3
q_215,¿Pregunta relacionada a Variable 215?,3
q_216,¿Pregunta relacionada a Variable 216?,3
q_217,¿Pregunta relacionada a Variable 217?,1
q_218,¿Pregunta relacionada a Variable 218?,3
q_219,¿Pregunta relacionada a Variable 219?,3
q_220,¿Pregunta relacionada a Variable 220?,1
q_221,¿Pregunta relacionada a Variable 221?,3
q_222,¿Pregunta relacionada a Variable 222?,3
q_223,¿Pregunta relacionada a Variable 223?,1
q_224,¿Pregunta relacionada a Variable 224?,2
q_225,¿Pregunta relacionada a Variable 225?,3
q_226,¿Pregunta relacionada a Variable 226?,2
q_227,¿Pregunta relacionada a Variable 227?,2
q_228,¿Pregunta relacionada a Variable 228?,2
q_229,¿Pregunta relacionada a Variable 229?,1
q_230,¿Pregunta relacionada a Variable 230?,1
q_231,¿Pregunta relacionada a Variable 231?,3
q_232,¿Pregunta relacionada a Variable 232?,2
q_233,¿Pregunta relacionada a Variable 233?,1
q_234,¿Pregunta relacionada a Variable 234?,1
q_235,¿Pregunta relacionada a Variable 235?,2
q_236,¿Pregunta relacionada a Variable 236?,1
q_237,¿Pregunta relacionada a Variable 237?,2
q_238,¿Pregunta relacionada a Variable 238?,1
q_239,¿Pregunta relacionada a Variable 239?,2
q_240,¿Pregunta relacionada a Variable 240?,1
q_241,¿Pregunta relacionada a Variable 241?,1
q_242,¿Pregunta relacionada a Variable 242?,1
q_243,¿Pregunta relacionada a Variable 243?,1
q_244,¿Pregunta relacionada a Variable 244?,2
q_245,¿Pregunta relacionada a Variable 245?,3
q_246,¿Pregunta relacionada a Variable 246?,3
q_247,¿Pregunta relacionada a Variable 247?,1
q_248,¿Pregunta relacionada a Variable 248?,3
q_249,¿Pregunta relacionada a Variable 249?,1
q_250,¿Pregunta relacionada a Variable 250?,3
q_251,¿Pregunta relacionada a Variable 251?,1
q_252,¿Pregunta relacionada a Variable 252?,3
q_253,¿Pregunta relacionada a Variable 253?,3
q_254,¿Pregunta relacionada a Variable 254?,1
q_255,¿Pregunta relacionada a Variable 255?,3
q_256,¿Pregunta relacionada a Variable 256?,1
q_257,¿Pregunta relacionada a Variable 257?,3
q_258,¿Pregunta relacionada a Variable 258?,2
q_259,¿Pregunta relacionada a Variable 259?,2
q_260,¿Pregunta relacionada a Variable 260?,2
q_261,¿Pregunta relacionada a Variable 261?,1
q_262,¿Pregunta relacionada a Variable 262?,1
q_263,¿Pregunta relacionada a Variable 263?,1
q_264,¿Pregunta relacionada a Variable 264?,2
q_265,¿Pregunta relacionada a Variable 265?,3
q_266,¿Pregunta relacionada a Variable 266?,1
q_267,¿Pregunta relacionada a Variable 267?,2
q_268,¿Pregunta relacionada a Variable 268?,1
q_269,¿Pregunta relacionada a Variable 269?,1
q_270,¿Pregunta relacionada a Variable 270?,3
q_271,¿Pregunta relacionada a Variable 271?,1
q_272,¿Pregunta relacionada a Variable 272?,1
q_273,¿Pregunta relacionada a Variable 273?,3
q_274,¿Pregunta relacionada a Variable 274?,1
q_275,¿Pregunta relacionada a Variable 275?,1
q_276,¿Pregunta relacionada a Variable 276?,3
q_277,¿Pregunta relacionada a Variable 277?,1
q_278,¿Pregunta relacionada a Variable 278?,1
q_279,¿Pregunta relacionada a Variable 279?,2
q_280,¿Pregunta relacionada a Variable 280?,3
q_281,¿Pregunta relacionada a Variable 281?,2
q_282,¿Pregunta relacionada a Variable 282?,3
q_283,¿Pregunta relacionada a Variable 283?,1
q_284,¿Pregunta relacionada a Variable 284?,2
q_285,¿Pregunta relacionada a Variable 285?,2
q_286,¿Pregunta relacionada a Variable 286?,2
q_287,¿Pregunta relacionada a Variable 287?,2
q_288,¿Pregunta relacionada a Variable 288?,3
q_289,¿Pregunta relacionada a Variable 289?,1
q_290,¿Pregunta relacionada a Variable 290?,1
q_291,¿Pregunta relacionada a Variable 291?,2
q_292,¿Pregunta relacionada a Variable 292?,1
q_293,¿Pregunta relacionada a Variable 293?,1
q_294,¿Pregunta relacionada a Variable 294?,3
q_295,¿Pregunta relacionada a Variable 295?,1
q_296,¿Pregunta relacionada a Variable 296?,1
q_297,¿Pregunta relacionada a Variable 297?,1
q_298,¿Pregunta relacionada a Variable 298?,1
q_299,¿Pregunta relacionada a Variable 299?,2
q_300,¿Pregunta relacionada a Variable 300?,3
q_301,¿Pregunta relacionada a Variable 301?,3
q_302,¿Pregunta relacionada a Variable 302?,3
q_303,¿Pregunta relacionada a Variable 303?,1
q_304,¿Pregunta relacionada a Variable 304?,2
q_305,¿Pregunta relacionada a Variable 305?,3
q_306,¿Pregunta relacionada a Variable 306?,2
q_307,¿Pregunta relacionada a Variable 307?,3
q_308,¿Pregunta relacionada a Variable 308?,2
q_309,¿Pregunta relacionada a Variable 309?,1
q_310,¿Pregunta relacionada a Variable 310?,1
q_311,¿Pregunta relacionada a Variable 311?,3
q_312,¿Pregunta relacionada a Variable 312?,3
q_313,¿Pregunta relacionada a Variable 313?,3
q_314,¿Pregunta relacionada a Variable 314?,1
q_315,¿Pregunta relacionada a Variable 315?,1
q_316,¿Pregunta relacionada a Variable 316?,3
q_317,¿Pregunta relacionada a Variable 317?,3
q_318,¿Pregunta relacionada a Variable 318?,1
q_319,¿Pregunta relacionada a Variable 319?,3
q_320,¿Pregunta relacionada a Variable 320?,3
q_321,¿Pregunta relacionada a Variable 321?,3
q_322,¿Pregunta relacionada a Variable 322?,1
q_323,¿Pregunta relacionada a Variable 323?,1
q_324,¿Pregunta relacionada a Variable 324?,2
q_325,¿Pregunta relacionada a Variable 325?,2
q_326,¿Pregunta relacionada a Variable 326?,2
q_327,¿Pregunta relacionada a Variable 327?,2
q_328,¿Pregunta relacionada a Variable 328?,3
q_329,¿Pregunta relacionada a Variable 329?,1
q_330,¿Pregunta relacionada a Variable 330?,1
q_331,¿Pregunta relacionada a Variable 331?,2
q_332,¿Pregunta relacionada a Variable 332?,3
q_333,¿Pregunta relacionada a Variable 333?,1
q_334,¿Pregunta relacionada a Variable 334?,1
q_335,¿Pregunta relacionada a Variable 335?,3
q_336,¿Pregunta relacionada a Variable 336?,3
q_337,¿Pregunta relacionada a Variable 337?,2
q_338,¿Pregunta relacionada a Variable 338?,2
q_339,¿Pregunta relacionada a Variable 339?,3
q_340,¿Pregunta relacionada a Variable 340?,1
q_341,¿Pregunta relacionada a Variable 341?,3
q_342,¿Pregunta relacionada a Variable 342?,3
q_343,¿Pregunta relacionada a Variable 343?,1
q_344,¿Pregunta relacionada a Variable 344?,1
q_345,¿Pregunta relacionada a Variable 345?,2
q_346,¿Pregunta relacionada a Variable 346?,3
q_347,¿Pregunta relacionada a Variable 347?,2
q_348,¿Pregunta relacionada a Variable 348?,3
q_349,¿Pregunta relacionada a Variable 349?,3
q_350,¿Pregunta relacionada a Variable 350?,1
q_351,¿Pregunta relacionada a Variable 351?,3
q_352,¿Pregunta relacionada a Variable 352?,3
q_353,¿Pregunta relacionada a Variable 353?,1
q_354,¿Pregunta relacionada a Variable 354?,1
q_355,¿Pregunta relacionada a Variable 355?,1
q_356,¿Pregunta relacionada a Variable 356?,3
q_357,¿Pregunta relacionada a Variable 357?,1
q_358,¿Pregunta relacionada a Variable 358?,3
q_359,¿Pregunta relacionada a Variable 359?,2
q_360,¿Pregunta relacionada a Variable 360?,1
q_361,¿Pregunta relacionada a Variable 361?,2
q_362,¿Pregunta relacionada a Variable 362?,2
q_363,¿Pregunta relacionada a Variable 363?,1
q_364,¿Pregunta relacionada a Variable 364?,1
q_365,¿Pregunta relacionada a Variable 365?,3
q_366,¿Pregunta relacionada a Variable 366?,1
q_367,¿Pregunta relacionada a Variable 367?,2
q_368,¿Pregunta relacionada a Variable 368?,2
q_369,¿Pregunta relacionada a Variable 369?,2
q_370,¿Pregunta relacionada a Variable 370?,3
q_371,¿Pregunta relacionada a Variable 371?,3
q_372,¿Pregunta relacionada a Variable 372?,1
q_373,¿Pregunta relacionada a Variable 373?,1
q_374,¿Pregunta relacionada a Variable 374?,1
q_375,¿Pregunta relacionada a Variable 375?,2
q_376,¿Pregunta relacionada a Variable 376?,2
q_377,¿Pregunta relacionada a Variable 377?,2
q_378,¿Pregunta relacionada a Variable 378?,1
q_379,¿Pregunta relacionada a Variable 379?,1
q_380,¿Pregunta relacionada a Variable 380?,2
q_381,¿Pregunta relacionada a Variable 381?,1
q_382,¿Pregunta relacionada a Variable 382?,3
q_383,¿Pregunta relacionada a Variable 383?,1
q_384,¿Pregunta relacionada a Variable 384?,2
q_385,¿Pregunta relacionada a Variable 385?,1
q_386,¿Pregunta relacionada a Variable 386?,3
q_387,¿Pregunta relacionada a Variable 387?,2
q_388,¿Pregunta relacionada a Variable 388?,1
q_389,¿Pregunta relacionada a Variable 389?,1
q_390,¿Pregunta relacionada a Variable 390?,1
q_391,¿Pregunta relacionada a Variable 391?,1
q_392,¿Pregunta relacionada a Variable 392?,3
q_393,¿Pregunta relacionada a Variable 393?,1
q_394,¿Pregunta relacionada a Variable 394?,1
q_395,¿Pregunta relacionada a Variable 395?,2
q_396,¿Pregunta relacionada a Variable 396?,3
q_397,¿Pregunta relacionada a Variable 397?,2
q_398,¿Pregunta relacionada a Variable 398?,3
q_399,¿Pregunta relacionada a Variable 399?,1
q_400,¿Pregunta relacionada a Variable 400?,3
q_401,¿Pregunta relacionada a Variable 401?,2
q_402,¿Pregunta relacionada a Variable 402?,1
q_403,¿Pregunta relacionada a Variable 403?,2
q_404,¿Pregunta relacionada a Variable 404?,2
q_405,¿Pregunta relacionada a Variable 405?,3
q_406,¿Pregunta relacionada a Variable 406?,1
q_407,¿Pregunta relacionada a Variable 407?,2
q_408,¿Pregunta relacionada a Variable 408?,2
q_409,¿Pregunta relacionada a Variable 409?,3
q_410,¿Pregunta relacionada a Variable 410?,2
q_411,¿Pregunta relacionada a Variable 411?,1
q_412,¿Pregunta relacionada a Variable 412?,1
q_413,¿Pregunta relacionada a Variable 413?,3
q_414,¿Pregunta relacionada a Variable 414?,2
q_415,¿Pregunta relacionada a Variable 415?,3
q_416,¿Pregunta relacionada a Variable 416?,3
q_417,¿Pregunta relacionada a Variable 417?,2
q_418,¿Pregunta relacionada a Variable 418?,1
q_419,¿Pregunta relacionada a Variable 419?,3
q_420,¿Pregunta relacionada a Variable 420?,1
q_421,¿Pregunta relacionada a Variable 421?,1
q_422,¿Pregunta relacionada a Variable 422?,2
q_423,¿Pregunta relacionada a Variable 423?,2
q_424,¿Pregunta relacionada a Variable 424?,1
q_425,¿Pregunta relacionada a Variable 425?,1
q_426,¿Pregunta relacionada a Variable 426?,1
q_427,¿Pregunta relacionada a Variable 427?,3
q_428,¿Pregunta relacionada a Variable 428?,1
q_429,¿Pregunta relacionada a Variable 429?,3
q_430,¿Pregunta relacionada a Variable 430?,2
q_431,¿Pregunta relacionada a Variable 431?,2
q_432,¿Pregunta relacionada a Variable 432?,1
q_433,¿Pregunta relacionada a Variable 433?,2
q_434,¿Pregunta relacionada a Variable 434?,1
q_435,¿Pregunta relacionada a Variable 435?,3
q_436,¿Pregunta relacionada a Variable 436?,1
q_437,¿Pregunta relacionada a Variable 437?,2
q_438,¿Pregunta relacionada a Variable 438?,1
q_439,¿Pregunta relacionada a Variable 439?,2
q_440,¿Pregunta relacionada a Variable 440?,3
q_441,¿Pregunta relacionada a Variable 441?,2
q_442,¿Pregunta relacionada a Variable 442?,2
q_443,¿Pregunta relacionada a Variable 443?,2
q_444,¿Pregunta relacionada a Variable 444?,2
q_445,¿Pregunta relacionada a Variable 445?,2
q_446,¿Pregunta relacionada a Variable 446?,2
q_447,¿Pregunta relacionada a Variable 447?,1
q_448,¿Pregunta relacionada a Variable 448?,3
q_449,¿Pregunta relacionada a Variable 449?,1
q_450,¿Pregunta relacionada a Variable 450?,3
q_451,¿Pregunta relacionada a Variable 451?,1
q_452,¿Pregunta relacionada a Variable 452?,3
q_453,¿Pregunta relacionada a Variable 453?,3
q_454,¿Pregunta relacionada a Variable 454?,1
q_455,¿Pregunta relacionada a Variable 455?,1
q_456,¿Pregunta relacionada a Variable 456?,3
q_457,¿Pregunta relacionada a Variable 457?,2
q_458,¿Pregunta relacionada a Variable 458?,3
q_459,¿Pregunta relacionada a Variable 459?,2
q_460,¿Pregunta relacionada a Variable 460?,3
q_461,¿Pregunta relacionada a Variable 461?,2
q_462,¿Pregunta relacionada a Variable 462?,1
q_463,¿Pregunta relacionada a Variable 463?,1
q_464,¿Pregunta relacionada a Variable 464?,2
q_465,¿Pregunta relacionada a Variable 465?,2
q_466,¿Pregunta relacionada a Variable 466?,2
q_467,¿Pregunta relacionada a Variable 467?,2
q_468,¿Pregunta relacionada a Variable 468?,1
q_469,¿Pregunta relacionada a Variable 469?,3
q_470,¿Pregunta relacionada a Variable 470?,1
q_471,¿Pregunta relacionada a Variable 471?,3
q_472,¿Pregunta relacionada a Variable 472?,1
q_473,¿Pregunta relacionada a Variable 473?,2
q_474,¿Pregunta relacionada a Variable 474?,1
q_475,¿Pregunta relacionada a Variable 475?,1
q_476,¿Pregunta relacionada a Variable 476?,2
q_477,¿Pregunta relacionada a Variable 477?,2
q_478,¿Pregunta relacionada a Variable 478?,1
q_479,¿Pregunta relacionada a Variable 479?,1
q_480,¿Pregunta relacionada a Variable 480?,3
q_481,¿Pregunta relacionada a Variable 481?,3
q_482,¿Pregunta relacionada a Variable 482?,1
q_483,¿Pregunta relacionada a Variable 483?,3
q_484,¿Pregunta relacionada a Variable 484?,2
q_485,¿Pregunta relacionada a Variable 485?,1
q_486,¿Pregunta relacionada a Variable 486?,1
q_487,¿Pregunta relacionada a Variable 487?,3
q_488,¿Pregunta relacionada a Variable 488?,1
q_489,¿Pregunta relacionada a Variable 489?,1
q_490,¿Pregunta relacionada a Variable 490?,2
q_491,¿Pregunta relacionada a Variable 491?,1
q_492,¿Pregunta relacionada a Variable 492?,3
q_493,¿Pregunta relacionada a Variable 493?,2
q_494,¿Pregunta relacionada a Variable 494?,3
q_495,¿Pregunta relacionada a Variable 495?,1
q_496,¿Pregunta relacionada a Variable 496?,3
q_497,¿Pregunta relacionada a Variable 497?,3
q_498,¿Pregunta relacionada a Variable 498?,2
q_499,¿Pregunta relacionada a Variable 499?,1
q_500,¿Pregunta relacionada a Variable 500?,2
q_501,¿Pregunta relacionada a Variable 501?,1
q_502,¿Pregunta relacionada a Variable 502?,2
q_503,¿Pregunta relacionada a Variable 503?,1
q_504,¿Pregunta relacionada a Variable 504?,2
q_505,¿Pregunta relacionada a Variable 505?,1
q_506,¿Pregunta relacionada a Variable 506?,2
q_507,¿Pregunta relacionada a Variable 507?,3
q_508,¿Pregunta relacionada a Variable 508?,2
q_509,¿Pregunta relacionada a Variable 509?,3
q_510,¿Pregunta relacionada a Variable 510?,2
q_511,¿Pregunta relacionada a Variable 511?,3
q_512,¿Pregunta relacionada a Variable 512?,1
q_513,¿Pregunta relacionada a Variable 513?,3
q_514,¿Pregunta relacionada a Variable 514?,1
q_515,¿Pregunta relacionada a Variable 515?,3
q_516,¿Pregunta relacionada a Variable 516?,1
q_517,¿Pregunta relacionada a Variable 517?,3
q_518,¿Pregunta relacionada a Variable 518?,2
q_519,¿Pregunta relacionada a Variable 519?,1
q_520,¿Pregunta relacionada a Variable 520?,1
q_521,¿Pregunta relacionada a Variable 521?,3
q_522,¿Pregunta relacionada a Variable 522?,2
q_523,¿Pregunta relacionada a Variable 523?,1
q_524,¿Pregunta relacionada a Variable 524?,1
q_525,¿Pregunta relacionada a Variable 525?,2
q_526,¿Pregunta relacionada a Variable 526?,2
q_527,¿Pregunta relacionada a Variable 527?,2
q_528,¿Pregunta relacionada a Variable 528?,1
q_529,¿Pregunta relacionada a Variable 529?,3
q_530,¿Pregunta relacionada a Variable 530?,3
q_531,¿Pregunta relacionada a Variable 531?,1
q_532,¿Pregunta relacionada a Variable 532?,1
q_533,¿Pregunta relacionada a Variable 533?,1
q_534,¿Pregunta relacionada a Variable 534?,1
q_535,¿Pregunta relacionada a Variable 535?,2
q_536,¿Pregunta relacionada a Variable 536?,1
q_537,¿Pregunta relacionada a Variable 537?,1
q_538,¿Pregunta relacionada a Variable 538?,1
q_539,¿Pregunta relacionada a Variable 539?,2
q_540,¿Pregunta relacionada a Variable 540?,2
q_541,¿Pregunta relacionada a Variable 541?,2
q_542,¿Pregunta relacionada a Variable 542?,1
q_543,¿Pregunta relacionada a Variable 543?,2
q_544,¿Pregunta relacionada a Variable 544?,1
q_545,¿Pregunta relacionada a Variable 545?,1
q_546,¿Pregunta relacionada a Variable 546?,3
q_547,¿Pregunta relacionada a Variable 547?,2
q_548,¿Pregunta relacionada a Variable 548?,3
q_549,¿Pregunta relacionada a Variable 549?,3
q_550,¿Pregunta relacionada a Variable 550?,2
q_551,¿Pregunta relacionada a Variable 551?,2
q_552,¿Pregunta relacionada a Variable 552?,3
q_553,¿Pregunta relacionada a Variable 553?,1
q_554,¿Pregunta relacionada a Variable 554?,3
q_555,¿Pregunta relacionada a Variable 555?,2
q_556,¿Pregunta relacionada a Variable 556?,1
q_557,¿Pregunta relacionada a Variable 557?,3
q_558,¿Pregunta relacionada a Variable 558?,3
